,house_id,lat_lng,address
0,30193861,"(34.10156, -118.25454)","2482 Silver Ridge Ave, Los Angeles, CA 90039, USA"
1,533646,"(34.102, -118.32855)","6349 Hollywood Blvd, Los Angeles, CA 90028, USA"
2,23974206,"(34.18411, -118.23286)","2525 Hermosita Dr, Glendale, CA 91208, USA"
3,39930010,"(34.00663, -118.31018)","1735 W 42nd Pl, Los Angeles, CA 90062, USA"
4,13349001,"(34.08526, -118.34947)","750 N Fuller Ave, Los Angeles, CA 90046, USA"
5,22889381,"(34.05166, -118.26316)","1050 Ingraham St, Los Angeles, CA 90017, USA"
6,20156128,"(34.06734, -118.11594)","439 N Sierra Vista St, Monterey Park, CA 91755, USA"
7,25738675,"(34.06018, -118.11344)","601 E Newmark Ave, Monterey Park, CA 91755, USA"
8,22309844,"(34.04104, -118.29925)","1816 Normandie Ave, Los Angeles, CA 90006, USA"
9,3304088,"(34.20284, -118.15143)","387 W Loma Alta Dr, Altadena, CA 91001, USA"
10,37720081,"(33.99402, -118.47751)","54 Paloma Ave, Venice, CA 90291, USA"
11,40753983,"(34.00858, -118.42782)","11900 McCune Ave, Los Angeles, CA 90066, USA"
12,29040737,"(34.13194, -118.36188)","3701 Fredonia Dr, Los Angeles, CA 90068, USA"
13,28913346,"(34.08812, -118.308)","965 N Oxford Ave, Los Angeles, CA 90029, USA"
14,34572693,"(34.10625, -118.29507)","1925 N Catalina St, Los Angeles, CA 90027, USA"
15,32902372,"(34.0923, -118.30139)","1159 N Ardmore Ave, Los Angeles, CA 90029, USA"
16,21804966,"(34.00659, -118.2595)","930 E 42nd Pl, Los Angeles, CA 90011, USA"
17,40649939,"(34.04875, -118.46061)","1211s S Barrington Ave, Los Angeles, CA 90025, USA"
18,28675934,"(34.05219, -118.29606)","1017 Dewey Ave, Los Angeles, CA 90006, USA"
19,33812234,"(34.19074, -118.37417)","11148 Lemay St, North Hollywood, CA 91606, USA"
20,15240195,"(34.10237, -118.28588)","4416 Kingswell Ave, Los Angeles, CA 90027, USA"
21,40763602,"(34.0607567704249, -118.38373140515682)","353S S Robertson Blvd, Beverly Hills, CA 90211, USA"
22,39871891,"(34.04194, -118.11743)","1962 Fulton Ave, Monterey Park, CA 91755, USA"
23,27495640,"(34.07403, -118.12813)","1801 S 5th St, Alhambra, CA 91803, USA"
24,40028404,"(33.97966, -118.46459)","119 Anchorage St, Marina Del Rey, CA 90292, USA"
25,24858808,"(34.05079, -118.32158)","1121 5th Ave, Los Angeles, CA 90019, USA"
26,13866238,"(34.087513, -118.355438)","905 N Curson Ave, West Hollywood, CA 90046, USA"
27,31016427,"(34.06046, -118.2699)","1808 W 4th St, Los Angeles, CA 90057, USA"
28,40483751,"(34.15988, -118.25992)","303 W Glenoaks Blvd, Glendale, CA 91202, USA"
